"fips","name","population","population18To34","population18To34_me","population18To34_p","population18To34_pme","white","white_me","white_p","white_pme","minority","minority_me","minority_p","minority_pme","neverMarried","neverMarried_me","neverMarried_p","neverMarried_pme","liveAlone","liveAlone_me","liveAlone_p","liveAlone_pme","educationBachelor","educationBachelor_me","educationBachelor_p","educationBachelor_pme","civilian","veteran","veteran_me","veteran_p","veteran_pme","foreignBorn","foreignBorn_me","foreignBorn_p","foreignBorn_pme","otherLanguage","otherLanguage_me","otherLanguage_p","otherLanguage_pme","medianEarnings","medianEarnings_me","povertyUniverse","poverty","poverty_me","poverty_p","poverty_pme","employed","employed_me","employed_p","employed_pme","commuter","droveToWork","droveToWork_me","droveToWork_p","droveToWork_pme","liveWithParent","liveWithParent_me","liveWithParent_p","liveWithParent_pme"
"01","Alabama","4799277","1095170","1222","22.819",".02546","668410","462","61.03",".08000","426755","1324","38.97",".08000","675170","4204","61.65",".37000","79785","2112","7.29",".19000","185605","3482","16.95",".32000","1085925","31745","1646","2.92",".15000","65755","1655","6",".15000","87775","1910","8.01",".17000","30643","","1036770","244985","3584","23.63",".35000","667495","4191","60.95",".38000","662145","628650","4395","94.94",".23000","339875","3911","31.03",".35000"
"02","Alaska","720316","185170","340","25.707",".04720","111710","232","60.33",".16000","73460","395","39.67",".16000","110425","1608","59.63",".87000","11745","821","6.34",".45000","30460","1133","16.45",".61000","172045","11075","742","6.44",".43000","12775","721","6.9",".39000","31680","1062","17.11",".57000","38246","","176310","21245","1059","12.05",".60000","117655","1525","63.54",".80000","127180","101885","1693","80.11",".87000","48570","1819","26.23",".98000"
"04","Arizona","6479703","1513235","834","23.353",".01287","739735","453","48.88",".04000","773500","966","51.12",".04000","973740","5328","64.35",".35000","111860","2422","7.39",".16000","265105","4483","17.52",".30000","1499015","43270","1820","2.89",".12000","242355","3823","16.02",".26000","475150","3977","31.4",".27000","32872","","1442350","322255","5047","22.34",".35000","959080","4822","63.38",".32000","954535","842270","5181","88.24",".28000","424815","4827","28.07",".32000"
"05","Arkansas","2933369","666490","868","22.721",".02959","459940","294","69.01",".10000","206550","946","30.99",".10000","372055","3697","55.82",".54000","47745","1606","7.16",".24000","102375","2149","15.36",".32000","662120","20535","1085","3.1",".16000","50280","1517","7.54",".22000","67905","1449","10.19",".22000","29038","","626940","153845","2942","24.54",".47000","424165","2993","63.64",".44000","419770","391570","3298","93.28",".32000","169015","2780","25.36",".41000"
"06","California","37659181","9382110","994","24.913",".00264","3134055","1410","33.4",".03000","6248055","1814","66.6",".03000","6453680","14617","68.79",".16000","487645","5059","5.2",".05000","2038520","12741","21.73",".13000","9266445","173070","3208","1.87",".04000","2527995","14583","26.94",".15000","4486705","13943","47.82",".14000","35734","","9027150","1679025","12096","18.6",".13000","5823135","11767","62.07",".13000","5768770","4819555","12996","83.55",".11000","3235200","12302","34.48",".14000"
"08","Colorado","5119329","1249100","985","24.400",".01924","815830","546","65.31",".07000","433270","1087","34.69",".07000","768010","4841","61.49",".38000","109485","2574","8.77",".20000","330885","3952","26.49",".31000","1223900","38135","1558","3.12",".13000","156420","2876","12.52",".23000","244125","3166","19.54",".25000","35703","","1186310","222565","3677","18.76",".30000","864225","3653","69.19",".29000","872410","735790","3571","84.34",".28000","277195","3810","22.19",".30000"
"09","Connecticut","3583561","764015","401","21.320",".01119","466980","522","61.12",".07000","297035","645","38.88",".08000","553260","3045","72.41",".39000","47910","1625","6.27",".21000","214055","2994","28.02",".39000","757210","11350","814","1.5",".11000","130060","2619","17.02",".34000","209360","2290","27.4",".30000","40849","","698195","100105","2820","14.34",".41000","514450","2995","67.34",".40000","508835","430550","3436","84.61",".41000","269770","2932","35.31",".38000"
"10","Delaware","908446","206465","123","22.727",".01354","120695","297","58.46",".15000","85770","318","41.54",".15000","145020","1514","70.24",".73000","11400","752","5.52",".37000","45495","1423","22.04",".69000","203845","5300","598","2.6",".29000","26285","1061","12.73",".52000","36610","1120","17.73",".54000","34778","","192040","29190","1282","15.2",".67000","135355","1471","65.56",".70000","134860","120235","1522","89.16",".68000","68575","1668","33.21",".80000"
"11","District of Columbia","619371","217000","116","35.036",".01873","101160","98","46.62",".05000","115840","146","53.38",".05000","180950","1499","83.39",".70000","32690","1184","15.06",".55000","111290","1598","51.29",".74000","214615","3060","469","1.43",".22000","30725","1320","14.16",".61000","36565","1239","16.85",".57000","54279","","189780","37395","1720","19.7",".91000","140790","1822","64.88",".84000","140890","43395","1563","30.8","1.02000","33565","1433","15.47",".66000"
"12","Florida","19091156","4116255","1247","21.561",".00653","1988265","937","48.3",".03000","2127990","1342","51.7",".03000","2826695","11907","68.67",".28000","271080","4250","6.59",".10000","759475","8364","18.45",".21000","4074940","100850","2704","2.47",".07000","834500","7134","20.27",".17000","1316160","6701","31.97",".16000","30524","","3933100","798490","9904","20.3",".25000","2583610","7878","62.77",".19000","2576865","2300755","9093","89.29",".20000","1437595","10807","34.92",".26000"
"13","Georgia","9810417","2342795","1613","23.881",".01644","1155320","619","49.31",".05000","1187470","1621","50.69",".05000","1511125","7322","64.5",".31000","168835","3331","7.21",".14000","464790","5932","19.84",".25000","2303945","62350","2178","2.71",".09000","319760","4007","13.65",".17000","403000","4003","17.2",".17000","31660","","2196575","491325","6693","22.37",".31000","1415205","5682","60.41",".24000","1422050","1269700","6106","89.29",".20000","695360","5482","29.68",".23000"
"15","Hawaii","1376298","326700","250","23.738",".01816","81665","119","25",".04000","245035","282","75",".04000","210665","2020","64.48",".62000","16510","985","5.05",".30000","68310","1658","20.91",".51000","295745","17555","1159","5.94",".39000","51115","1672","15.65",".52000","76285","1822","23.35",".56000","34767","","304625","41190","1767","13.52",".58000","203470","2117","62.28",".65000","228955","180865","1930","79",".63000","101365","1789","31.03",".55000"
"16","Idaho","1583364","365700","685","23.096",".04326","291890","200","79.82",".16000","73810","709","20.18",".16000","189515","2777","51.82",".75000","21360","1052","5.84",".29000","59940","1849","16.39",".50000","363315","9730","848","2.68",".23000","30850","1134","8.44",".31000","49600","1385","13.56",".38000","30199","","351295","79330","2094","22.58",".59000","243045","1985","66.46",".52000","239500","211700","2163","88.39",".55000","80310","2276","21.96",".62000"
"17","Illinois","12848554","3030525","1008","23.587",".00785","1748585","995","57.7",".04000","1281940","1434","42.3",".04000","2077910","7540","68.57",".26000","244545","3562","8.07",".12000","832725","6887","27.48",".22000","3015320","56455","1803","1.87",".06000","500570","5569","16.52",".19000","806155","5266","26.6",".17000","36546","","2887735","517980","5273","17.94",".19000","2032235","5522","67.06",".18000","2006200","1584935","5868","79",".24000","997315","6582","32.91",".22000"
"18","Indiana","6514861","1490375","1021","22.877",".01567","1153620","498","77.4",".07000","336755","1142","22.6",".07000","934770","5112","62.72",".33000","111590","2340","7.49",".16000","282870","4422","18.98",".30000","1488260","29980","1464","2.01",".10000","110520","2232","7.42",".15000","168320","2478","11.29",".16000","32313","","1386655","298270","3861","21.51",".27000","975540","3636","65.46",".24000","959010","873090","3985","91.04",".22000","405520","4252","27.21",".29000"
"19","Iowa","3062553","697265","1003","22.767",".03275","588180","271","84.36",".13000","109085","1062","15.64",".13000","429985","3042","61.67",".43000","64155","1740","9.2",".25000","155880","2943","22.36",".41000","696080","16330","977","2.35",".14000","52055","1466","7.47",".20000","71035","1486","10.19",".21000","33561","","644410","126010","2351","19.55",".35000","524160","2480","75.17",".35000","515355","451745","2806","87.66",".31000","140040","2519","20.08",".36000"
"20","Kansas","2868107","674790","795","23.527",".02772","494085","254","73.22",".10000","180705","838","26.78",".10000","397640","3310","58.93",".48000","57945","1625","8.59",".24000","152845","2929","22.65",".44000","661670","19075","1068","2.88",".16000","67890","1692","10.06",".25000","97135","1443","14.39",".21000","32239","","633615","127665","2940","20.15",".46000","472030","2904","69.95",".43000","475485","433840","3182","91.24",".34000","147210","2399","21.82",".36000"
"21","Kentucky","4361333","984395","1274","22.571",".02921","818095","317","83.11",".11000","166295","1310","16.89",".11000","577120","3949","58.63",".39000","69260","1919","7.04",".19000","175365","3024","17.81",".32000","971460","24725","1222","2.55",".12000","51625","1502","5.24",".15000","70790","1751","7.19",".18000","30879","","921115","222090","3469","24.11",".38000","621520","3310","63.14",".33000","620440","570355","3537","91.93",".26000","270130","3104","27.44",".32000"
"22","Louisiana","4567968","1113445","1145","24.375",".02507","618345","357","55.53",".07000","495100","1254","44.47",".07000","740905","4505","66.54",".39000","85940","2647","7.72",".24000","194540","3186","17.47",".29000","1102070","32060","1292","2.91",".12000","58650","1983","5.27",".18000","96100","2202","8.63",".20000","31915","","1055095","241620","4055","22.9",".38000","706230","4043","63.43",".34000","700555","644135","3817","91.95",".29000","344535","4446","30.94",".40000"
